folds,test_auc,val_auc,test_acc,val_acc
0,0.638888888888889,0.6111111111111112,0.2,0.4
1,0.5555555555555556,0.8888888888888888,0.5,0.8333333333333334
2,0.8333333333333334,0.7731481481481483,0.75,0.5
3,0.47222222222222227,0.5722222222222223,0.5,0.3333333333333333
4,0.6111111111111112,0.8592592592592593,0.5,0.6666666666666666
